NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 4.3528665250000005, [[-0.5][30.0]], "[[-0.5][32.0], [-0.0][33.0], [-0.0][32.0], [-0.5][30.0], [-0.0][34.0], [-0.5][30.0], [-0.0][32.0], [-0.75][31.0], [-0.5][31.0], [-0.0][33.0], [-0.5][33.0], [-0.0][32.0], [-0.0][32.0], [-0.0][33.0], [-0.0][35.0], [-0.0][33.0], [-0.0][32.0], [0.5][31.0], [-0.0][33.0], [-0.0][32.0], [-0.0][33.0], [-0.0][34.0], [-0.0][33.0], [-0.0][32.0], [-0.0][33.0], [-0.0][30.0], [-0.0][33.0], [-0.0][32.0], [-0.0][33.0], [-0.0][32.0], [-0.0][34.0], [-0.0][33.0], [-0.0][33.0], [-0.0][32.0], [-0.0][32.0], [-0.5][33.0], [-0.0][33.0], [-0.0][33.0], [-0.0][34.0], [-0.0][33.0]]", 40
80, 4.5793504050000005, [[1.0][27.0]], "[[1.0][27.0], [1.0][28.0], [-0.0][29.0], [-0.6666666666666666][30.0], [-0.5][30.0], [-0.5][30.0], [-0.3333333333333333][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [0.5][30.0], [0.5][30.0], [0.5][30.0], [0.5][30.0], [1.0][30.0], [1.0][30.0], [1.0][30.0], [1.0][30.0], [1.0][30.0], [1.0][30.0], [-0.75][31.0], [-0.5][31.0], [-0.25][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [-0.0][31.0], [0.5][31.0], [0.5][31.0], [1.0][31.0], [-0.5][32.0], [-0.5][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0], [-0.0][32.0]]", 40
120, 4.847688334, [[2.0][26.0]], "[[2.0][26.0], [0.1111111111111111][27.0], [0.5][27.0], [1.0][27.0], [1.5][27.0], [2.0][27.0], [-0.5][28.0], [-0.125][28.0], [1.0][28.0], [2.5][28.0], [-0.6666666666666666][29.0], [-0.375][29.0], [-0.3333333333333333][29.0], [-0.2777777777777778][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [-0.0][29.0], [0.16666666666666666][29.0], [0.5][29.0], [1.0][29.0], [1.5][29.0], [-0.6666666666666666][30.0], [-0.5][30.0], [-0.5][30.0], [-0.3333333333333333][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [-0.0][30.0], [0.5][30.0], [0.5][30.0], [0.5][30.0], [0.5][30.0], [0.5][30.0], [0.5][30.0]]", 40
160, 5.054834142000001, [[2.5][24.0]], "[[2.5][24.0], [5.0][24.0], [0.25][26.0], [2.0][26.0], [2.0][26.0], [3.0][26.0], [-0.75][27.0], [-0.5][27.0], [-0.125][27.0], [0.1111111111111111][27.0], [0.5][27.0], [0.5][27.0], [0.5833333333333334][27.0], [1.0][27.0], [1.0][27.0], [1.0][27.0], [1.5][27.0], [2.0][27.0], [2.0][27.0], [3.0][27.0], [-0.5][28.0], [-0.5][28.0], [-0.5][28.0], [-0.3333333333333333][28.0], [-0.25][28.0], [-0.125][28.0], [-0.0][28.0], [-0.0][28.0], [-0.0][28.0], [0.5][28.0], [1.0][28.0], [1.0][28.0], [2.5][28.0], [-0.6666666666666666][29.0], [-0.4583333333333333][29.0], [-0.375][29.0], [-0.3333333333333333][29.0], [-0.2777777777777778][29.0], [-0.0][29.0], [-0.0][29.0]]", 40
200, 5.2608897180000005, [[0.5][24.0]], "[[0.5][24.0], [2.5][24.0], [3.0][24.0], [3.5][24.0], [5.0][24.0], [-0.0][25.0], [1.375][25.0], [2.0][25.0], [2.5][25.0], [3.0][25.0], [-0.5][26.0], [-0.3333333333333333][26.0], [-0.29166666666666663][26.0], [-0.0][26.0], [0.25][26.0], [0.33333333333333337][26.0], [0.5][26.0], [1.0][26.0], [1.0][26.0], [1.25][26.0], [1.3333333333333333][26.0], [1.75][26.0], [2.0][26.0], [2.0][26.0], [2.0][26.0], [3.0][26.0], [4.0][26.0], [-1.0][27.0], [-0.75][27.0], [-0.6666666666666666][27.0], [-0.5][27.0], [-0.5][27.0], [-0.375][27.0], [-0.125][27.0], [-0.0][27.0], [-0.0][27.0], [0.1111111111111111][27.0], [0.5][27.0], [0.5][27.0], [0.5833333333333334][27.0]]", 40
240, 5.496629442000001, [[9.0][22.0]], "[[9.0][22.0], [-0.0][23.0], [4.5][23.0], [6.0][23.0], [6.5][23.0], [0.5][24.0], [1.6666666666666665][24.0], [2.5][24.0], [3.0][24.0], [3.0][24.0], [3.5][24.0], [4.0][24.0], [4.0][24.0], [4.5][24.0], [5.0][24.0], [-0.25][25.0], [-0.0][25.0], [-0.0][25.0], [1.375][25.0], [1.6666666666666665][25.0], [2.0][25.0], [2.0][25.0], [2.5][25.0], [2.5][25.0], [3.0][25.0], [3.0][25.0], [3.0][25.0], [3.0][25.0], [3.5][25.0], [5.5][25.0], [5.75][25.0], [-0.5][26.0], [-0.3333333333333333][26.0], [-0.29166666666666663][26.0], [-0.0][26.0], [-0.0][26.0], [0.25][26.0], [0.33333333333333337][26.0], [0.5][26.0], [0.5][26.0]]", 40
280, 5.746305227000001, [[15.0][19.0]], "[[15.0][19.0], [5.5][22.0], [5.5][22.0], [7.0][22.0], [7.0][22.0], [9.0][22.0], [-0.0][23.0], [0.25][23.0], [1.0][23.0], [1.3888888888888888][23.0], [1.5][23.0], [2.0][23.0], [3.1666666666666665][23.0], [3.166666666666667][23.0], [4.0][23.0], [4.5][23.0], [5.0][23.0], [6.0][23.0], [6.0][23.0], [6.5][23.0], [6.5][23.0], [7.0][23.0], [7.0][23.0], [7.0][23.0], [-0.0][24.0], [0.041666666666666685][24.0], [0.5][24.0], [0.5][24.0], [1.4][24.0], [1.6666666666666665][24.0], [2.0][24.0], [2.5][24.0], [2.5][24.0], [2.75][24.0], [3.0][24.0], [3.0][24.0], [3.5][24.0], [4.0][24.0], [4.0][24.0], [4.5][24.0]]", 40
320, 6.001319919, [[9.0][19.0]], "[[9.0][19.0], [15.0][19.0], [4.166666666666666][20.0], [6.666666666666667][20.0], [8.5][20.0], [11.0][20.0], [11.0][20.0], [3.75][21.0], [4.5][21.0], [7.25][21.0], [7.5][21.0], [8.0][21.0], [9.0][21.0], [1.3333333333333333][22.0], [2.0][22.0], [3.0][22.0], [4.0][22.0], [5.0][22.0], [5.5][22.0], [5.5][22.0], [5.5][22.0], [5.5][22.0], [6.0][22.0], [7.0][22.0], [7.0][22.0], [9.0][22.0], [-0.0][23.0], [0.25][23.0], [0.7222222222222221][23.0], [1.0][23.0], [1.3333333333333333][23.0], [1.3888888888888888][23.0], [1.5][23.0], [2.0][23.0], [3.1666666666666665][23.0], [3.166666666666667][23.0], [4.0][23.0], [4.0][23.0], [4.0][23.0], [4.166666666666667][23.0]]", 40
360, 6.315138546, [[10.5][17.0]], "[[10.5][17.0], [4.291666666666666][18.0], [7.5][18.0], [9.5][18.0], [10.0][18.0], [10.0][18.0], [15.0][18.0], [7.166666666666665][19.0], [8.0][19.0], [8.5][19.0], [9.0][19.0], [9.0][19.0], [9.0][19.0], [10.75][19.0], [14.5][19.0], [15.0][19.0], [4.166666666666666][20.0], [6.0][20.0], [6.0][20.0], [6.666666666666667][20.0], [7.0][20.0], [7.0][20.0], [8.5][20.0], [9.0][20.0], [9.0][20.0], [9.0][20.0], [9.166666666666666][20.0], [10.75][20.0], [11.0][20.0], [11.0][20.0], [2.0][21.0], [3.75][21.0], [4.5][21.0], [5.5][21.0], [6.333333333333333][21.0], [7.25][21.0], [7.5][21.0], [8.0][21.0], [8.5][21.0], [9.0][21.0]]", 40
400, 6.597355862000001, [[10.958333333333332][16.0]], "[[10.958333333333332][16.0], [17.75][16.0], [10.0][17.0], [10.5][17.0], [11.0][17.0], [11.0][17.0], [13.5][17.0], [17.25][17.0], [4.291666666666666][18.0], [4.5][18.0], [5.458333333333332][18.0], [6.041666666666666][18.0], [6.5][18.0], [7.0][18.0], [7.5][18.0], [7.916666666666665][18.0], [8.5][18.0], [9.5][18.0], [10.0][18.0], [10.0][18.0], [11.5][18.0], [11.666666666666666][18.0], [12.0][18.0], [12.5][18.0], [13.0][18.0], [13.0][18.0], [15.0][18.0], [7.166666666666665][19.0], [8.0][19.0], [8.5][19.0], [9.0][19.0], [9.0][19.0], [9.0][19.0], [9.0][19.0], [9.166666666666666][19.0], [10.75][19.0], [13.25][19.0], [13.5][19.0], [14.5][19.0], [15.0][19.0]]", 40
