NFE, Elapsed Time, Approximation Set, Population, Population Size
10, 1.168296862, "[[34.3,2.0]]", "[[38.6,2.0], [34.3,2.0], [35.5,2.0], [36.5,2.0], [38.6,2.0], [38.6,2.0], [38.6,2.0], [38.6,2.0], [37.6,2.0], [37.6,2.0]]", 10
20, 2.1434469700000003, "[[34.3,2.0]]", "[[34.3,2.0], [35.5,2.0], [35.3,3.0], [36.5,2.0], [35.400000000000006,3.0], [35.400000000000006,3.0], [35.400000000000006,3.0], [37.6,2.0], [36.400000000000006,3.0], [37.6,2.0]]", 10
30, 2.401485338, "[[34.3,2.0], [34.2,3.0]]", "[[34.3,2.0], [34.2,3.0], [34.2,3.0], [35.5,2.0], [34.2,4.0], [34.3,3.0], [36.5,2.0], [35.2,4.0], [35.3,3.0], [37.6,2.0]]", 10
40, 2.85737918, "[[34.3,2.0], [32.1,4.0], [33.2,3.0]]", "[[34.3,2.0], [32.1,4.0], [33.2,3.0], [35.5,2.0], [34.1,4.0], [34.2,3.0], [34.2,3.0], [34.2,4.0], [36.5,2.0], [34.3,3.0]]", 10
50, 3.2766377380000002, "[[34.3,2.0], [30.9,5.0], [32.1,4.0], [33.2,3.0]]", "[[34.3,2.0], [30.9,5.0], [32.1,4.0], [33.2,3.0], [30.9,5.0], [32.1,4.0], [35.5,2.0], [31.0,5.0], [33.1,4.0], [34.2,3.0]]", 10
60, 3.655505863, "[[34.3,2.0], [28.700000000000003,6.0], [30.9,5.0], [32.2,3.0], [32.1,4.0]]", "[[34.3,2.0], [28.700000000000003,6.0], [30.9,5.0], [32.2,3.0], [32.1,4.0], [30.9,5.0], [32.1,4.0], [28.700000000000003,6.0], [35.5,2.0], [29.8,6.0]]", 10
70, 3.8547448390000003, "[[34.3,2.0], [27.6,7.0], [30.9,5.0], [28.700000000000003,6.0], [32.2,3.0], [32.1,4.0]]", "[[34.3,2.0], [27.6,7.0], [30.9,5.0], [28.700000000000003,6.0], [32.2,3.0], [32.1,4.0], [30.9,5.0], [32.1,4.0], [28.700000000000003,6.0], [30.9,5.0]]", 10
80, 4.136774464, "[[34.3,2.0], [26.5,8.0], [30.9,5.0], [32.1,3.0], [28.700000000000003,6.0], [27.6,7.0]]", "[[34.3,2.0], [26.5,8.0], [30.9,5.0], [32.1,3.0], [28.700000000000003,6.0], [27.6,7.0], [30.9,5.0], [28.700000000000003,6.0], [30.9,5.0], [26.5,8.0]]", 10
90, 4.447098306, "[[34.3,2.0], [26.4,9.0], [30.9,5.0], [32.1,3.0], [28.700000000000003,6.0], [27.6,7.0], [26.5,8.0]]", "[[34.3,2.0], [26.4,9.0], [30.9,5.0], [32.1,3.0], [28.700000000000003,6.0], [27.6,7.0], [26.5,8.0], [30.9,5.0], [28.700000000000003,6.0], [30.9,5.0]]", 10
100, 4.6140712520000005, "[[34.3,2.0], [26.4,9.0], [30.9,5.0], [32.1,3.0], [28.700000000000003,6.0], [27.6,7.0], [26.5,8.0]]", "[[34.3,2.0], [26.4,9.0], [30.9,5.0], [32.1,3.0], [28.700000000000003,6.0], [27.6,7.0], [26.5,8.0], [30.9,5.0], [28.700000000000003,6.0], [30.9,5.0]]", 10
110, 4.795098804, "[[34.3,2.0], [26.4,9.0], [30.9,5.0], [32.1,3.0], [28.700000000000003,6.0], [27.6,7.0], [26.5,8.0]]", "[[34.3,2.0], [26.4,9.0], [30.9,5.0], [32.1,3.0], [28.700000000000003,6.0], [27.6,7.0], [26.5,8.0], [30.9,5.0], [28.700000000000003,6.0], [30.9,5.0]]", 10
120, 4.96083108, "[[34.3,2.0], [26.4,9.0], [30.9,5.0], [32.1,3.0], [28.700000000000003,6.0], [27.6,7.0], [26.5,8.0]]", "[[34.3,2.0], [26.4,9.0], [30.9,5.0], [32.1,3.0], [28.700000000000003,6.0], [27.6,7.0], [26.5,8.0], [30.9,5.0], [28.700000000000003,6.0], [30.9,5.0]]", 10
130, 5.180325672, "[[34.3,2.0], [26.4,9.0], [30.9,5.0], [28.700000000000003,6.0], [32.1,3.0], [27.6,7.0], [26.5,8.0], [32.0,4.0]]", "[[34.3,2.0], [26.4,9.0], [30.9,5.0], [28.700000000000003,6.0], [32.1,3.0], [27.6,7.0], [26.5,8.0], [32.0,4.0], [30.9,5.0], [28.700000000000003,6.0]]", 10
140, 5.608285131000001, "[[34.3,2.0], [26.4,9.0], [32.1,3.0], [31.0,4.0], [29.8,5.0], [27.6,7.0], [28.700000000000003,6.0], [26.5,8.0]]", "[[34.3,2.0], [26.4,9.0], [32.1,3.0], [31.0,4.0], [29.8,5.0], [27.6,7.0], [28.700000000000003,6.0], [26.5,8.0], [28.700000000000003,6.0], [26.4,9.0]]", 10
150, 5.736656186, "[[34.3,2.0], [26.4,9.0], [31.0,4.0], [32.1,3.0], [28.8,5.0], [27.6,7.0], [26.5,8.0], [28.700000000000003,6.0]]", "[[34.3,2.0], [26.4,9.0], [31.0,4.0], [32.1,3.0], [28.8,5.0], [27.6,7.0], [26.5,8.0], [28.700000000000003,6.0], [28.700000000000003,6.0], [26.4,9.0]]", 10
