batch-id,duration,o-ContentSize,o-Transformations,solutions-found,solution-model
0,00:01:07.354,35.5,2.0,7,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-0/1269A694.xmi
0,00:01:07.354,25.4,8.0,7,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-0/75272F89.xmi
0,00:01:07.354,32.2,3.0,7,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-0/675BC34D.xmi
0,00:01:07.354,31.0,4.0,7,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-0/5FFB505D.xmi
0,00:01:07.354,27.700000000000003,6.0,7,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-0/7D9AB82E.xmi
0,00:01:07.354,28.8,5.0,7,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-0/310D9B73.xmi
0,00:01:07.354,25.5,7.0,7,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-0/08F577B4.xmi
1,00:00:32.205,36.5,2.0,8,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-1/5FC02DAD.xmi
1,00:00:32.205,25.4,9.0,8,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-1/00F1DB5B.xmi
1,00:00:32.205,33.2,3.0,8,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-1/0F1E6816.xmi
1,00:00:32.205,31.0,5.0,8,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-1/606F8AEC.xmi
1,00:00:32.205,28.8,6.0,8,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-1/3E1C6E09.xmi
1,00:00:32.205,26.5,8.0,8,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-1/30B95192.xmi
