NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 2.474574381, "[[0.0,0.0][117.0,0.0]]", "[[2.469817807045694,3.5355339059327378][117.0,0.0], [1.161895003862225,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.9219544457292886,3.5355339059327378][117.0,0.0], [2.4698178070456946,1.4142135623730951][117.0,0.0], [2.4698178070456946,1.4142135623730951][117.0,0.0], [0.0,0.0][117.0,0.0], [1.6278820596099706,4.949747468305833][117.0,0.0], [1.161895003862225,2.1213203435596424][117.0,0.0], [0.0,2.8284271247461903][117.0,0.0], [0.0,0.0][117.0,0.0], [1.5811388300841898,0.0][117.0,0.0], [1.6278820596099706,3.5355339059327378][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.9219544457292886,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [1.6278820596099706,1.4142135623730951][117.0,0.0], [0.0,0.0][117.0,0.0], [0.9219544457292886,2.1213203435596424][117.0,0.0], [2.6267851073127395,3.5355339059327378][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [1.6278820596099706,2.8284271247461903][117.0,0.0], [0.9219544457292886,3.5355339059327378][117.0,0.0], [0.0,0.0][117.0,0.0], [2.469817807045694,4.949747468305833][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [1.6278820596099706,4.949747468305833][117.0,0.0], [0.0,0.0][117.0,0.0], [1.161895003862225,4.949747468305833][117.0,0.0], [2.469817807045694,2.8284271247461903][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,4.949747468305833][117.0,0.0], [0.0,0.0][117.0,0.0]]", 40
80, 2.7033432640000004, "[[0.0,0.0][116.0,0.0]]", "[[0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [2.4698178070456938,0.0][116.0,0.0], [0.31622776601683794,2.1213203435596424][116.0,0.0], [1.161895003862225,0.7071067811865476][116.0,0.0], [0.3872983346207417,2.1213203435596424][116.0,0.0], [2.9832867780352594,0.0][116.0,0.0], [2.5199206336708304,2.1213203435596424][116.0,0.0], [0.6324555320336759,3.5355339059327378][116.0,0.0], [1.2516655570345725,2.516611478423583][116.0,0.0], [1.8885620632287061,2.516611478423583][116.0,0.0], [0.8660254037844386,9.192388155425117][116.0,0.0], [1.5329709716755893,5.656854249492381][116.0,0.0], [1.7606816861659011,3.605551275463989][116.0,0.0], [1.5811388300841898,4.242640687119285][116.0,0.0], [1.0723805294763609,10.606601717798213][116.0,0.0], [2.5199206336708304,2.8284271247461903][116.0,0.0], [1.9748417658131503,4.041451884327381][116.0,0.0], [2.1447610589527217,3.5355339059327378][116.0,0.0], [2.3769728648009427,3.5355339059327378][116.0,0.0], [2.8460498941515415,4.949747468305833][116.0,0.0], [3.0659419433511785,3.5355339059327378][116.0,0.0], [3.9812058474788765,4.242640687119285][116.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0]]", 40
120, 2.943900595, "[[0.0,0.0][115.0,0.0]]", "[[0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.3872983346207417,7.7781745930520225][115.0,0.0], [2.0371548787463363,1.4142135623730951][115.0,0.0], [1.0723805294763609,4.242640687119285][115.0,0.0], [1.5679255127833223,1.5275252316519465][115.0,0.0], [1.2516655570345725,2.081665999466133][115.0,0.0], [1.1547005383792517,3.0][115.0,0.0], [2.085665361461421,1.4142135623730951][115.0,0.0], [1.5329709716755893,3.5355339059327378][115.0,0.0], [1.9621416870348585,2.1213203435596424][115.0,0.0], [1.6589611351218767,3.304037933599835][115.0,0.0], [2.0856653614614213,1.4142135623730951][115.0,0.0], [1.602081978759722,3.605551275463989][115.0,0.0], [2.428991560298224,2.8284271247461903][115.0,0.0], [1.7748239349298847,7.0710678118654755][115.0,0.0], [1.8330362995034315,7.0][115.0,0.0], [3.1780497164141406,5.033222956847167][115.0,0.0], [3.4856850115866753,5.656854249492381][115.0,0.0], [4.141255848169731,9.192388155425117][115.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0]]", 40
160, 3.065792692, "[[0.0,0.0][114.0,0.0]]", "[[0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [2.2693611435820435,0.0][114.0,0.0], [0.3872983346207417,4.949747468305833][114.0,0.0], [1.378404875209022,1.4142135623730951][114.0,0.0], [2.8982753492378874,0.0][114.0,0.0], [1.5198737065060755,3.1091263510296048][114.0,0.0], [2.2693611435820435,1.4142135623730951][114.0,0.0], [1.7606816861659011,2.0][114.0,0.0], [2.8982753492378874,0.0][114.0,0.0], [1.5573141274364808,4.041451884327381][114.0,0.0], [2.6739483914241875,1.4142135623730951][114.0,0.0], [1.885040446231274,3.7859388972001824][114.0,0.0], [4.959838707054898,2.8284271247461903][114.0,0.0], [1.6464731518025673,6.238322424070967][114.0,0.0], [2.6925824035672523,3.5355339059327378][114.0,0.0], [1.9999999999999998,4.949747468305833][114.0,0.0], [2.8548204847240397,3.5355339059327378][114.0,0.0], [2.418677324489565,6.363961030678928][114.0,0.0], [2.7658633371878665,4.949747468305833][114.0,0.0], [3.840572873934304,4.242640687119285][114.0,0.0], [2.8460498941515415,9.192388155425117][114.0,0.0], [3.0248966924508345,4.949747468305833][114.0,0.0], [2.8460498941515415,16.263455967290593][114.0,0.0], [5.277309920783504,6.363961030678928][114.0,0.0], [3.0983866769659336,7.7781745930520225][114.0,0.0], [3.065941943351178,8.48528137423857][114.0,0.0], [5.277309920783504,11.313708498984761][114.0,0.0], [0.0,0.0][115.0,0.0]]", 40
200, 3.172893525, "[[0.0,0.0][113.0,0.0]]", "[[0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [1.284523257866513,2.1213203435596424][113.0,0.0], [1.4391391952661488,3.361547262794322][113.0,0.0], [1.8708286933869709,2.1213203435596424][113.0,0.0], [1.491070899486312,5.656854249492381][113.0,0.0], [3.293933818400121,2.1213203435596424][113.0,0.0], [1.916617237353945,2.8867513459481287][113.0,0.0], [1.632993161855452,6.027713773341708][113.0,0.0], [3.3015148038438356,2.8284271247461903][113.0,0.0], [1.9999999999999996,2.8867513459481287][113.0,0.0], [2.3586628836398567,2.8867513459481287][113.0,0.0], [2.0856653614614213,10.606601717798213][113.0,0.0], [2.1563858652847827,3.5355339059327378][113.0,0.0], [2.179449471770337,9.192388155425117][113.0,0.0], [3.13581462037113,5.507570547286102][113.0,0.0], [2.3769728648009427,6.363961030678928][113.0,0.0], [3.7881393849751626,5.656854249492381][113.0,0.0], [2.2693611435820435,9.192388155425117][113.0,0.0], [2.5298221281347035,6.363961030678928][113.0,0.0], [2.391194468531451,12.741009902410928][113.0,0.0], [4.0,7.0710678118654755][113.0,0.0], [2.889636655359978,7.7781745930520225][113.0,0.0], [2.479919353527449,10.606601717798213][113.0,0.0], [2.98328677803526,7.7781745930520225][113.0,0.0], [4.727578661429125,8.48528137423857][113.0,0.0], [5.253570214625479,10.606601717798213][113.0,0.0], [6.488451279003334,13.435028842544403][113.0,0.0], [6.603029607687671,13.435028842544403][113.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0]]", 40
240, 3.412200137, "[[0.0,0.0][112.0,0.0]]", "[[0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [1.7865467945260467,0.0][112.0,0.0], [1.505545305418162,6.0][112.0,0.0], [1.688194301613413,3.5355339059327378][112.0,0.0], [1.520422054279532,4.932882862316247][112.0,0.0], [1.61245154965971,7.7781745930520225][112.0,0.0], [2.366431913239847,0.7071067811865476][112.0,0.0], [1.9156806230794814,4.041451884327381][112.0,0.0], [1.7573963509832646,5.412947441089743][112.0,0.0], [3.122498999199199,2.8284271247461903][112.0,0.0], [1.7795130420052188,6.506407098647712][112.0,0.0], [3.058174596697747,4.618802153517007][112.0,0.0], [1.9407902170679519,5.196152422706632][112.0,0.0], [3.122498999199199,4.949747468305833][112.0,0.0], [2.0856653614614213,9.899494936611665][112.0,0.0], [2.7411047405067723,5.802298395176403][112.0,0.0], [2.0883720076238137,11.206396982676159][112.0,0.0], [3.3763886032268267,6.027713773341708][112.0,0.0], [2.3024124246980024,12.42309676905615][112.0,0.0], [4.924428900898052,10.606601717798213][112.0,0.0], [7.375635565834309,10.606601717798213][112.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [1.284523257866513,2.1213203435596424][113.0,0.0], [1.3228756555322954,0.7071067811865476][113.0,0.0], [1.3228756555322954,9.192388155425117][113.0,0.0], [2.0856653614614213,0.7071067811865476][113.0,0.0], [1.4391391952661488,3.361547262794322][113.0,0.0]]", 40
280, 3.5916173380000003, "[[0.0,0.0][111.0,0.0]]", "[[0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [1.5190609311575525,2.5][111.0,0.0], [2.3664319132398464,1.4142135623730951][111.0,0.0], [1.9156806230794814,1.7320508075688772][111.0,0.0], [1.671951778938228,5.354126134736337][111.0,0.0], [2.8896366553599777,2.1213203435596424][111.0,0.0], [3.1138719407371456,4.358898943540674][111.0,0.0], [3.1224989991991996,12.727922061357855][111.0,0.0], [4.9749371855331,5.656854249492381][111.0,0.0], [3.351616525399846,7.637626158259733][111.0,0.0], [3.4132096331752027,12.020815280171307][111.0,0.0], [6.352164985262898,7.7781745930520225][111.0,0.0], [3.752393242658239,8.660254037844387][111.0,0.0], [7.130918594402827,9.899494936611665][111.0,0.0], [4.312771730569565,13.435028842544403][111.0,0.0], [4.652956049652737,10.606601717798213][111.0,0.0], [4.888762624632126,10.606601717798213][111.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [1.7865467945260467,0.0][112.0,0.0], [1.505545305418162,6.0][112.0,0.0], [1.688194301613413,3.5355339059327378][112.0,0.0], [1.520422054279532,4.932882862316247][112.0,0.0]]", 40
320, 3.7034352810000004, "[[0.0,0.0][110.0,0.0]]", "[[0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [2.0318477005054643,2.5166114784235836][110.0,0.0], [1.4082374813022402,4.08248290463863][110.0,0.0], [1.9306379772371287,5.787918451395113][110.0,0.0], [2.2066361000575805,2.5166114784235836][110.0,0.0], [5.399073994677235,6.363961030678928][110.0,0.0], [2.479919353527449,12.020815280171307][110.0,0.0], [3.201491260303237,7.5][110.0,0.0], [5.076087732365021,7.3711147958319945][110.0,0.0], [3.22329960449561,8.888194417315589][110.0,0.0], [5.454356057317857,7.7781745930520225][110.0,0.0], [3.9916579679793878,7.937253933193772][110.0,0.0], [3.331666249791536,19.091883092036785][110.0,0.0], [7.148426400264606,7.7781745930520225][110.0,0.0], [4.141255848169732,8.48528137423857][110.0,0.0], [4.521606533274915,9.073771725877467][110.0,0.0], [6.4031242374328485,10.606601717798213][110.0,0.0], [5.509083408335728,12.020815280171307][110.0,0.0], [7.304108432930058,16.97056274847714][110.0,0.0], [6.383572667401852,18.384776310850235][110.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [1.5190609311575525,2.5][111.0,0.0], [2.3664319132398464,1.4142135623730951][111.0,0.0], [1.9156806230794814,1.7320508075688772][111.0,0.0]]", 40
360, 3.8532818410000003, "[[0.0,0.0][109.0,0.0]]", "[[0.0,0.0][109.0,0.0], [0.0,0.0][109.0,0.0], [0.0,0.0][109.0,0.0], [1.365351810102523,5.251983752196243][109.0,0.0], [2.1233204940422525,2.0][109.0,0.0], [2.107664035571542,3.214550253664318][109.0,0.0], [1.457481835581285,4.722287581247038][109.0,0.0], [1.5436393346658832,5.377421934967226][109.0,0.0], [6.715653356152325,4.242640687119285][109.0,0.0], [2.4289915602982237,14.142135623730951][109.0,0.0], [2.569046515733026,6.363961030678928][109.0,0.0], [2.4289915602982237,18.384776310850235][109.0,0.0], [2.832691767865995,6.519202405202649][109.0,0.0], [2.6405892818063577,6.985699678629192][109.0,0.0], [3.424678832498018,6.652067347825035][109.0,0.0], [3.584432541266162,7.767453465154029][109.0,0.0], [3.8883230774602366,7.571877794400365][109.0,0.0], [5.1332251070842405,8.48528137423857][109.0,0.0], [4.435738298038386,9.291573243177568][109.0,0.0], [4.520056570711026,8.736894948054104][109.0,0.0], [5.6258332716140815,14.849242404917497][109.0,0.0], [6.252999280345392,9.899494936611665][109.0,0.0], [6.090976933136424,10.606601717798213][109.0,0.0], [8.327664738688751,20.506096654409877][109.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [2.0318477005054643,2.5166114784235836][110.0,0.0], [1.4082374813022402,4.08248290463863][110.0,0.0], [2.2066361000575805,2.5166114784235836][110.0,0.0], [1.4373079130447337,4.760952285695233][110.0,0.0], [4.0743097574926725,3.5355339059327378][110.0,0.0], [1.8355568156841793,7.0710678118654755][110.0,0.0]]", 40
400, 4.008744878, "[[0.0,0.0][108.0,0.0]]", "[[0.0,0.0][108.0,0.0], [0.0,0.0][108.0,0.0], [1.9588217746957315,1.5275252316519468][108.0,0.0], [1.1821848445566745,5.118593556827891][108.0,0.0], [1.3122375987846548,3.96232255123179][108.0,0.0], [1.250045556134796,5.585696017507577][108.0,0.0], [1.8843979442376195,5.066228051190222][108.0,0.0], [1.4742951211327473,5.744562646538029][108.0,0.0], [1.4584998980118389,5.805170109479997][108.0,0.0], [1.676492916123292,5.805170109479997][108.0,0.0], [2.32777294368028,6.324555320336759][108.0,0.0], [2.665654067547017,6.0553007081949835][108.0,0.0], [2.665654067547017,6.0553007081949835][108.0,0.0], [3.006226986449765,6.946221994724902][108.0,0.0], [2.482759891458772,15.307950004273378][108.0,0.0], [2.8647955681822332,7.681145747868608][108.0,0.0], [3.524436563475371,8.386497083606082][108.0,0.0], [4.24710919434942,8.736894948054106][108.0,0.0], [4.0058306125688565,9.291573243177568][108.0,0.0], [5.049752469181039,19.79898987322333][108.0,0.0], [5.201382501274579,9.16515138991168][108.0,0.0], [6.4536811201050215,9.192388155425117][108.0,0.0], [7.0816664705420855,18.384776310850235][108.0,0.0], [8.79772697916911,9.192388155425117][108.0,0.0], [8.593602271457529,14.142135623730951][108.0,0.0], [0.0,0.0][109.0,0.0], [0.0,0.0][109.0,0.0], [0.0,0.0][109.0,0.0], [0.0,0.0][109.0,0.0], [0.0,0.0][109.0,0.0], [0.0,0.0][109.0,0.0], [1.365351810102523,5.251983752196243][109.0,0.0], [2.1233204940422525,1.7320508075688772][109.0,0.0], [2.107664035571542,3.214550253664318][109.0,0.0], [1.457481835581285,4.722287581247038][109.0,0.0], [1.4370932682758497,5.176871642217914][109.0,0.0], [2.1233204940422525,2.0][109.0,0.0], [1.4170593257020527,6.13052471924984][109.0,0.0], [2.107664035571542,5.131601439446884][109.0,0.0], [1.5436393346658832,5.377421934967226][109.0,0.0]]", 40
