NFE, Elapsed Time, Approximation Set, Population, Population Size
72, 2.676053303, "[[0.0,-0.0], [117.0,-0.7356101480176755], [223.0,-1.1669356354117912]]", "[[0.0,-0.0], [168.0,-0.0], [0.0,-0.0], [0.0,-0.0], [154.0,-0.02348452857662905], [172.0,-0.0], [154.0,-0.07676865671641792], [137.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [170.0,-0.0691865671641791], [0.0,-0.0], [0.0,-0.0], [124.0,-0.0], [120.0,-0.30110728587030006], [148.0,-0.0], [160.0,-0.0], [0.0,-0.0], [284.0,-0.0], [141.0,-0.07676865671641792], [292.0,-0.0], [117.0,-0.0], [136.0,-0.0], [117.0,-0.0], [141.0,-0.0], [117.0,-0.7356101480176755], [172.0,-0.0], [0.0,-0.0], [0.0,-0.0], [125.0,-0.02348452857662905], [145.0,-0.0], [144.0,-0.0], [327.0,-0.3099130434782609], [156.0,-0.0], [138.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [154.0,-0.0], [0.0,-0.0], [134.0,-0.0], [135.0,-0.0], [0.0,-0.0], [113.0,-0.0], [163.0,-0.0], [0.0,-0.0], [125.0,-0.0], [127.0,-0.0], [136.0,-0.668267373931735], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [153.0,-0.0], [281.0,-0.0], [0.0,-0.0], [165.0,-0.0], [160.0,-0.0], [0.0,-0.0], [0.0,-0.0], [223.0,-1.1669356354117912], [148.0,-0.0], [0.0,-0.0], [0.0,-0.0], [125.0,-0.0], [0.0,-0.0], [172.0,-0.0], [320.0,-0.10025318529304697], [157.0,-0.3099130434782609]]", 72
144, 3.076402396, "[[0.0,-0.0], [223.0,-1.1669356354117912], [53.0,-0.7356101480176755], [199.0,-0.8123788047340934], [50.0,-0.1975609756097561]]", "[[0.0,-0.0], [223.0,-1.1669356354117912], [53.0,-0.7356101480176755], [199.0,-0.8123788047340934], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [117.0,-0.7356101480176755], [53.0,-0.0], [56.0,-0.668267373931735], [188.0,-0.7356101480176755], [54.0,-0.0], [136.0,-0.668267373931735], [99.0,-0.3099130434782609], [62.0,-0.30110728587030006], [59.0,-0.1202067868504772], [59.0,-0.1202067868504772], [54.0,-0.0], [59.0,-0.1202067868504772], [55.0,-0.0], [204.0,-0.7356101480176755], [157.0,-0.3099130434782609], [120.0,-0.30110728587030006], [89.0,-0.11289051636228795], [66.0,-0.07676865671641792], [89.0,-0.11289051636228795], [55.0,-0.0], [55.0,-0.0], [56.0,-0.0], [230.0,-0.5776926517239586], [172.0,-0.1202067868504772], [85.0,-0.0691865671641791], [141.0,-0.07676865671641792], [56.0,-0.0], [56.0,-0.0], [85.0,-0.0691865671641791], [327.0,-0.3099130434782609], [58.0,-0.0], [238.0,-0.2820561323815704], [154.0,-0.07676865671641792], [125.0,-0.02348452857662905], [320.0,-0.10025318529304697], [61.0,-0.0], [170.0,-0.0691865671641791], [154.0,-0.02348452857662905], [372.0,-0.10025318529304697]]", 72
216, 3.6446469550000002, "[[0.0,-0.0], [223.0,-1.1669356354117912], [199.0,-0.8123788047340934], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755]]", "[[0.0,-0.0], [223.0,-1.1669356354117912], [199.0,-0.8123788047340934], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [270.0,-0.9331711236274316], [51.0,-0.0], [56.0,-0.668267373931735], [199.0,-0.7853662757263524], [117.0,-0.7356101480176755], [53.0,-0.0], [133.0,-0.7356101480176755], [99.0,-0.3099130434782609], [62.0,-0.30110728587030006], [59.0,-0.1202067868504772], [59.0,-0.1202067868504772], [59.0,-0.1202067868504772], [62.0,-0.30110728587030006], [59.0,-0.1202067868504772], [62.0,-0.30110728587030006], [188.0,-0.7356101480176755], [54.0,-0.0], [136.0,-0.668267373931735], [120.0,-0.30110728587030006], [84.0,-0.2128695652173913], [66.0,-0.07676865671641792], [54.0,-0.0], [84.0,-0.2128695652173913]]", 72
288, 3.9986334030000004, "[[0.0,-0.0], [223.0,-1.1669356354117912], [199.0,-0.8123788047340934], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755]]", "[[0.0,-0.0], [223.0,-1.1669356354117912], [199.0,-0.8123788047340934], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [51.0,-0.0], [228.0,-1.012195513871334], [56.0,-0.668267373931735], [117.0,-0.7356101480176755], [199.0,-0.7853662757263524], [56.0,-0.668267373931735], [56.0,-0.668267373931735], [56.0,-0.668267373931735], [51.0,-0.0], [51.0,-0.0], [56.0,-0.668267373931735], [270.0,-0.9331711236274316]]", 72
360, 4.465273618, "[[0.0,-0.0], [223.0,-1.1669356354117912], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [199.0,-0.8123788047340934], [53.0,-0.7356101480176755], [205.0,-1.012195513871334]]", "[[0.0,-0.0], [223.0,-1.1669356354117912], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [199.0,-0.8123788047340934], [53.0,-0.7356101480176755], [205.0,-1.012195513871334], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [51.0,-0.0], [228.0,-1.012195513871334]]", 72
432, 4.866043376, "[[0.0,-0.0], [223.0,-1.1669356354117912], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [199.0,-0.8123788047340934], [53.0,-0.7356101480176755], [205.0,-1.012195513871334]]", "[[0.0,-0.0], [223.0,-1.1669356354117912], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [199.0,-0.8123788047340934], [53.0,-0.7356101480176755], [205.0,-1.012195513871334], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561]]", 72
504, 5.231465407, "[[0.0,-0.0], [234.0,-1.4038775219494106], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [199.0,-0.8123788047340934], [53.0,-0.7356101480176755], [223.0,-1.1669356354117912], [205.0,-1.012195513871334]]", "[[0.0,-0.0], [234.0,-1.4038775219494106], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [199.0,-0.8123788047340934], [53.0,-0.7356101480176755], [223.0,-1.1669356354117912], [205.0,-1.012195513871334], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524]]", 72
576, 5.55213058, "[[0.0,-0.0], [368.0,-1.8308894672222888], [234.0,-1.4038775219494106], [50.0,-0.1975609756097561], [181.0,-0.8658283495414911], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [223.0,-1.1669356354117912], [205.0,-1.012195513871334]]", "[[0.0,-0.0], [368.0,-1.8308894672222888], [234.0,-1.4038775219494106], [50.0,-0.1975609756097561], [181.0,-0.8658283495414911], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [223.0,-1.1669356354117912], [205.0,-1.012195513871334], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755]]", 72
648, 5.875306134000001, "[[0.0,-0.0], [368.0,-1.8308894672222888], [234.0,-1.4038775219494106], [50.0,-0.1975609756097561], [181.0,-0.8658283495414911], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [223.0,-1.1669356354117912], [205.0,-1.012195513871334]]", "[[0.0,-0.0], [368.0,-1.8308894672222888], [234.0,-1.4038775219494106], [50.0,-0.1975609756097561], [181.0,-0.8658283495414911], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [223.0,-1.1669356354117912], [205.0,-1.012195513871334], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755]]", 72
720, 6.16282885, "[[0.0,-0.0], [368.0,-1.8308894672222888], [234.0,-1.4038775219494106], [50.0,-0.1975609756097561], [181.0,-0.8658283495414911], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [223.0,-1.1669356354117912], [205.0,-1.012195513871334]]", "[[0.0,-0.0], [368.0,-1.8308894672222888], [234.0,-1.4038775219494106], [50.0,-0.1975609756097561], [181.0,-0.8658283495414911], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [223.0,-1.1669356354117912], [205.0,-1.012195513871334], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755]]", 72
